method,sample,seq_len,position,region,tail_band,tail_protected,source_id,token_id,token,context_before,dense_nll,nll,delta_nll,kl,same_top1,rope
flashprefill_tail1,3,16384,14709,late,earlier,0,9b6fabdffaa8eaf6c613e829f3507a8af89929d8c5b974c4,25986, chron, status as well as the poverty level of school and the type of public school. Table 19: students who were,1.1968355178833008,8.763143539428711,7.56630802154541,5.696977138519287,0,yarn4
flashprefill_tail2,3,16384,14709,late,earlier,0,9b6fabdffaa8eaf6c613e829f3507a8af89929d8c5b974c4,25986, chron, status as well as the poverty level of school and the type of public school. Table 19: students who were,1.1968355178833008,8.763143539428711,7.56630802154541,5.696977138519287,0,yarn4
flashprefill_tail0,3,16384,14709,late,earlier,0,9b6fabdffaa8eaf6c613e829f3507a8af89929d8c5b974c4,25986, chron, status as well as the poverty level of school and the type of public school. Table 19: students who were,1.1968355178833008,8.763143539428711,7.56630802154541,5.696977138519287,0,yarn4
flashprefill_tail2,2,65536,58924,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1697, person,90 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a,0.2329258322715759,6.630505561828613,6.397579669952393,5.028737545013428,0,yarn4
flashprefill_tail1,2,65536,58924,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1697, person,90 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a,0.2329258322715759,6.630505561828613,6.397579669952393,5.028737545013428,0,yarn4
flashprefill_tail0,2,65536,58924,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,1697, person,90 & FY1991 NDAA permitted OTs (or cooperative agreements) to include a clause requiring a,0.2329258322715759,6.630505561828613,6.397579669952393,5.028737545013428,0,yarn4
flashprefill_tail0,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",2.382620334625244,7.435062408447266,5.0524420738220215,0.6835309267044067,1,native
flashprefill_tail1,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",2.382620334625244,7.435062408447266,5.0524420738220215,0.6835309267044067,1,native
flashprefill_tail2,3,32768,32284,tail,earlier,0,38a5830e9f6eb481ec9b4eb23eb5204a6f3d51831fdb2845,468, E," store ownership. That same year, FNS also consolidated its retailer management functions, including those for authorizing stores and analyzing",2.382620334625244,7.435062408447266,5.0524420738220215,0.6835309267044067,1,native
flashprefill_tail2,3,16384,16228,tail,penultimate_block,1,ba50360a6669fb0e2fbd41a020483b9bab271b5ce69b5c87,37576, FCC," lands (see fig. 3). According to FCC officials, this new map format will support more frequent data updates.",1.9207288026809688,6.239593505859375,4.318864822387695,0.7760320901870728,0,yarn4
flashprefill_tail2,2,65536,58955,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,96127, DAR, DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting,0.3587922751903534,4.60376501083374,4.2449727058410645,2.920301914215088,0,yarn4
flashprefill_tail0,2,65536,58955,late,earlier,0,f205ea85a60f0353bd98268ae9f5f6ae702788629c9061be,96127, DAR, DOD as a condition of receiving support under the agreement. Such funds were to be merged into an account dedicated to supporting,0.3587922751903534,4.60376501083374,4.2449727058410645,2.920301914215088,0,yarn4
